brand,outbound,responded_to,response_rate,unique_customers
AmazonHelp,169840,168823,0.9940120113047575,71049
AppleSupport,106860,106648,0.9980160958263148,76366
Uber_Support,56270,56193,0.9986315976541674,38300
SpotifyCares,43265,43206,0.9986363111059748,27794
Delta,42253,42149,0.9975386363098478,22331
Tesco,38573,38470,0.9973297384180645,15594
AmericanAir,36764,36531,0.9936622783157436,21686
TMobileHelp,34317,34229,0.997435673281464,19943
comcastcares,33031,32975,0.9983046229299749,21824
British_Airways,29361,29291,0.9976158850175403,14213
SouthwestAir,28977,28863,0.996065845325603,19713
VirginTrains,27817,27470,0.9875256138332674,12631
Ask_Spectrum,25860,25776,0.9967517401392111,17214
XboxSupport,24557,24312,0.9900232113043124,13150
sprintcare,22381,22313,0.9969617085921094,12896
hulu_support,21872,21772,0.995427944403804,13462
sainsburys,19466,19399,0.9965581013048392,10334
GWRHelp,19364,19270,0.9951456310679612,7606
AskPlayStation,19098,18675,0.9778510838831291,12214
ChipotleTweets,18749,18599,0.9919995733105765,14374
VerizonSupport,17966,17805,0.9910386285205388,7778
UPSHelp,17817,17765,0.9970814390750407,14616
ATVIAssist,17650,17518,0.9925212464589235,12423
O2,16212,16079,0.9917962003454232,8815
Safaricom_Care,16077,15453,0.961186788579959,7047
idea_cares,15724,15596,0.991859577715594,6022
AskTarget,13218,13210,0.9993947647147828,10714
AirAsiaSupport,12829,12724,0.9918154181931561,6356
BofA_Help,12683,12641,0.9966884806433809,6239
SW_Help,12231,11775,0.9627176845719893,4615
ArgosHelpers,12174,12032,0.9883357976014457,6796
AskLyft,11809,11787,0.9981370141417563,9408
marksandspencer,11504,11451,0.9953929068150209,7603
AskAmex,11358,11093,0.9766684275400599,3977
MicrosoftHelps,11304,11216,0.9922151450813871,4106
AskPayPal,11298,11262,0.9968135953266065,9439
Morrisons,10126,10021,0.9896306537625913,5452
AdobeCare,9917,9876,0.9958656851870525,4644
airtel_care,9881,9866,0.9984819350268191,2820
AskeBay,9686,9612,0.992360107371464,4963
AirbnbHelp,8875,8821,0.9939154929577465,5362
ChaseSupport,8811,8708,0.9883100669617524,6678
McDonalds,8478,8429,0.9942203349846662,8200
AldiUK,8114,7927,0.9769534138526005,6328
JetBlue,8020,7957,0.99214463840399,4629
CoxHelp,7861,7824,0.9952932196921511,4321
Ask_WellsFargo,7578,7559,0.9974927421483241,5585
AzureSupport,7565,7473,0.9878387309980172,2776
AlaskaAir,7478,7414,0.9914415619149505,4737
HPSupport,7200,7181,0.9973611111111111,3718
LondonMidland,6822,6515,0.954998534154207,3054
GloCare,6308,6301,0.9988902980342422,2400
DropboxSupport,5954,5940,0.9976486395700369,3174
DellCares,5336,5236,0.9812593703148426,1764
GreggsOfficial,4522,4493,0.9935869084475896,3297
nationalrailenq,4444,4135,0.9304680468046804,2148
VirginAtlantic,4318,4292,0.9939786938397406,2404
TacoBellTeam,4082,4081,0.9997550220480157,3089
AskCiti,4081,4036,0.9889732908600833,2197
AskPapaJohns,3908,3893,0.9961617195496417,3150
CenturyLinkHelp,3801,3795,0.9984214680347278,2697
NikeSupport,3468,3408,0.9826989619377162,1487
Postmates_Help,3346,3336,0.9970113568439928,2846
VirginAmerica,2815,2802,0.9953818827708704,1918
ATT,2790,2718,0.9741935483870968,2188
IHGService,2643,2625,0.9931895573212258,1601
Walmart,2643,2614,0.9890276201286416,2365
TfL,2243,2218,0.9888542131074454,1541
askpanera,2153,2152,0.9995355318160706,1940
KFC_UKI_Help,2103,2098,0.997622444127437,1998
NortonSupport,2011,1989,0.9890601690701144,819
GoDaddyHelp,1965,1948,0.9913486005089058,1378
ArbysCares,1904,1904,1.0,1566
AsurionCares,1898,1847,0.9731296101159115,945
DoorDash_Help,1581,1574,0.9955724225173941,1440
sizehelpteam,1482,1475,0.99527665317139,1184
VMUcare,1381,1350,0.9775524981897176,802
Kimpton,1339,1282,0.9574309185959672,733
SCsupport,1329,1250,0.9405568096313017,936
DunkinDonuts,1290,1278,0.9906976744186047,1255
TwitterSupport,1290,1277,0.9899224806201551,1165
USCellularCares,1177,1174,0.9974511469838573,505
NeweggService,1079,1066,0.9879518072289156,732
PandoraSupport,1043,1022,0.9798657718120806,843
AWSSupport,1035,1034,0.9990338164251208,839
AskRBC,1011,1009,0.9980217606330366,804
AskVirginMoney,914,906,0.9912472647702407,368
BoostCare,907,904,0.9966923925027563,601
YahooCare,906,875,0.9657836644591612,539
OPPOCareIN,879,868,0.987485779294653,432
PearsonSupport,841,824,0.9797859690844233,591
HiltonHelp,833,829,0.9951980792316927,672
GooglePlayMusic,804,803,0.9987562189054726,520
MTNC_Care,784,774,0.9872448979591837,369
AskTigogh,715,714,0.9986013986013986,292
asksalesforce,710,707,0.995774647887324,398
askvisa,709,709,1.0,479
AskSeagate,639,638,0.9984350547730829,335
MOO,630,616,0.9777777777777777,477
ask_progressive,612,611,0.9983660130718954,546
KeyBank_Help,555,552,0.9945945945945946,340
AskRobinhood,432,430,0.9953703703703703,383
mediatemplehelp,305,302,0.9901639344262295,159
JackBox,266,255,0.9586466165413534,238
OfficeSupport,218,214,0.981651376146789,92
AskDSC,210,210,1.0,196
CarlsJr,196,182,0.9285714285714286,168
HotelTonightCX,152,152,1.0,115
